Date,Trend
2017-05-16,74
2017-05-17,68
2017-05-18,71
2017-05-19,67
2017-05-20,65
2017-05-21,58
2017-05-22,70
2017-05-23,68
2017-05-24,69
2017-05-25,64
2017-05-26,68
2017-05-27,57
2017-05-28,49
2017-05-29,55
2017-05-30,61
2017-05-31,70
2017-06-01,63
2017-06-02,58
2017-06-03,58
2017-06-04,49
2017-06-05,67
2017-06-06,68
2017-06-07,69
2017-06-08,74
2017-06-09,63
2017-06-10,67
2017-06-11,56
2017-06-12,66
2017-06-13,66
2017-06-14,73
2017-06-15,66
2017-06-16,57
2017-06-17,59
2017-06-18,54
2017-06-19,65
2017-06-20,64
2017-06-21,60
2017-06-22,74
2017-06-23,59
2017-06-24,54
2017-06-25,61
2017-06-26,74
2017-06-27,100
2017-06-28,100
2017-06-29,77
2017-06-30,73
2017-07-01,68
2017-07-02,68
2017-07-03,67
2017-07-04,67
2017-07-05,86
2017-07-06,84
2017-07-07,90
2017-07-08,86
2017-07-09,77
2017-07-10,85
2017-07-11,94
2017-07-12,91
2017-07-13,93
2017-07-14,88
2017-07-15,83
2017-07-16,75
2017-07-17,88
2017-07-18,91
2017-07-19,84
2017-07-20,94
2017-07-21,96
2017-07-22,82
2017-07-23,79
2017-07-24,92
2017-07-25,100
2017-07-26,89
2017-07-27,97
2017-07-28,81
2017-07-29,83
2017-07-30,75
2017-07-31,90
2017-08-01,98
2017-08-02,90
2017-08-03,88
2017-08-04,96
2017-08-05,75
2017-08-06,81
2017-08-07,83
2017-08-08,77
2017-08-09,82
2017-08-10,76
2017-08-11,79
2017-08-12,78
2017-08-13,76
2017-08-14,77
2017-08-15,90
2017-08-16,75
2017-08-17,79
2017-08-18,78
2017-08-19,71
2017-08-20,73
2017-08-21,79
2017-08-22,81
2017-08-23,100
2017-08-24,92
2017-08-25,91
2017-08-26,70
2017-08-27,82
2017-08-28,84
2017-08-29,77
2017-08-30,82
2017-08-31,80
2017-09-01,80
2017-09-02,72
2017-09-03,75
2017-09-04,72
2017-09-05,69
2017-09-06,78
2017-09-07,77
2017-09-08,77
2017-09-09,64
2017-09-10,58
2017-09-11,68
2017-09-12,73
2017-09-13,71
2017-09-14,75
2017-09-15,69
2017-09-16,51
2017-09-17,56
2017-09-18,83
2017-09-19,100
2017-09-20,76
2017-09-21,76
2017-09-22,64
2017-09-23,58
2017-09-24,68
2017-09-25,71
2017-09-26,72
2017-09-27,86
2017-09-28,77
2017-09-29,71
2017-09-30,65
2017-10-01,60
2017-10-02,70
2017-10-03,73
2017-10-04,76
2017-10-05,44
2017-10-06,49
2017-10-07,42
2017-10-08,37
2017-10-09,42
2017-10-10,42
2017-10-11,45
2017-10-12,41
2017-10-13,47
2017-10-14,38
2017-10-15,33
2017-10-16,100
2017-10-17,75
2017-10-18,55
2017-10-19,46
2017-10-20,49
2017-10-21,48
2017-10-22,47
2017-10-23,50
2017-10-24,54
2017-10-25,55
2017-10-26,48
2017-10-27,46
2017-10-28,35
2017-10-29,37
2017-10-30,50
2017-10-31,45
2017-11-01,49
2017-11-02,47
2017-11-03,43
2017-11-04,43
2017-11-05,41
2017-11-06,57
2017-11-07,60
2017-11-08,57
2017-11-09,52
2017-11-10,52
2017-11-11,48
2017-11-12,46
2017-11-13,55
2017-11-14,54
2017-11-15,61
2017-11-16,57
2017-11-17,52
2017-11-18,40
2017-11-19,47
2017-11-20,57
2017-11-21,57
2017-11-22,51
2017-11-23,51
2017-11-24,50
2017-11-25,46
2017-11-26,54
2017-11-27,69
2017-11-28,74
2017-11-29,100
2017-11-30,75
2017-12-01,69
2017-12-02,71
2017-12-03,67
2017-12-04,73
2017-12-05,19
2017-12-06,27
2017-12-07,25
2017-12-08,20
2017-12-09,17
2017-12-10,13
2017-12-11,18
2017-12-12,18
2017-12-13,21
2017-12-14,24
2017-12-15,32
2017-12-16,28
2017-12-17,32
2017-12-18,27
2017-12-19,27
2017-12-20,24
2017-12-21,24
2017-12-22,21
2017-12-23,20
2017-12-24,16
2017-12-25,16
2017-12-26,17
2017-12-27,18
2017-12-28,19
2017-12-29,31
